Date,Description,Amount
2024-01-05,Grocery Store Purchase,-125.50
2024-01-07,Monthly Salary,3500.00
2024-01-10,Electric Bill Payment,-89.25
2024-01-12,Restaurant Dinner,-45.80
2024-01-15,Gas Station,-52.00
2024-01-18,Amazon Purchase,-78.99
2024-01-20,Pharmacy,-23.45
2024-01-22,Movie Theater,-35.00
2024-01-25,Rent Payment,-1200.00
2024-01-28,Grocery Store Purchase,-142.30
2024-02-01,Internet Bill,-65.00
2024-02-05,Freelance Income,850.00
2024-02-08,Coffee Shop,-12.50
2024-02-10,Uber Ride,-18.75
2024-02-12,Grocery Store Purchase,-98.60
2024-02-15,Streaming Service,-14.99
2024-02-18,Doctor Visit,-150.00
2024-02-20,Restaurant Lunch,-28.50
2024-02-22,Gas Station,-48.00
2024-02-25,Rent Payment,-1200.00
